ID;Date d'acquisition;Nombre de fois exposé;Domaine;nomImage;Titre principal;Prénom NOM
80;2009;2;Photographie;5D34711.JPG;Vue, Jacob Jordaensstraat, Anvers;Isabelle ARTHUIS
81;2009;2;Photographie;5D34712.JPG;Porto do Rio 2;Isabelle ARTHUIS
82;2009;2;Photographie;5D34713.JPG;Architecture, Grèce;Isabelle ARTHUIS
83;2009;1;Photographie;5D34714.JPG;Maricà bleu;Isabelle ARTHUIS
84;2009;2;Photographie;5D34715.JPG;Nord-Pas-de-Calais;Isabelle ARTHUIS
85;2009;1;Photographie;5D34716.JPG;Fog, Brésil;Isabelle ARTHUIS
86;2009;1;Photographie;5D34717.JPG;Aquarium, Anvers;Isabelle ARTHUIS
87;2009;1;Photographie;5D34718.JPG;Sphèregola, Xavier Noiret-Thomé, Yedi Kule, Thessalonique;Isabelle ARTHUIS
88;2009;1;Photographie;5D34719.JPG;Tijuca;Isabelle ARTHUIS
89;2009;1;Photographie;5D34720.JPG;Trou Madame, Lot;Isabelle ARTHUIS
90;2009;1;Photographie;;Figure de Lune;Isabelle ARTHUIS
91;2012;3;Design graphique;;Affiche Le Banquet;Isabelle ARTHUIS
92;2012;0;Photographie;;Le Banquet;Isabelle ARTHUIS
93;2012;1;Sculpture;3L02503.JPG;Book;Richard ARTSCHWAGER
94;1997;5;Peinture;4T11269.JPG;Elective Affinities #2;Richard ARTSCHWAGER
95;2003;8;Oeuvre en 3 dimensions;1A25170.JPG;Herodias/Hostess;Richard ARTSCHWAGER
96;1983;8;Estampe;1A25459.JPG;Double;Geneviève ASSE
97;1983;8;Estampe;3L02504.JPG;Déchirure bleue;Geneviève ASSE
98;1983;7;Estampe;3C00420.JPG;Fenêtre espace;Geneviève ASSE
99;1984;15;Peinture;3C00416.JPG;Porte de l'espace;Geneviève ASSE
100;1984;10;Peinture;3L02929.JPG;Ligne profonde;Geneviève ASSE
101;1983;10;Estampe;3L02947.JPG;Double lumière;Geneviève ASSE
102;1983;12;Estampe;1A25361.JPG;Triptyque;Geneviève ASSE
103;1984;7;Publication, livre, reliure;3L02928.JPG;Livre Ici en deux;Geneviève ASSE
104;1983;10;Estampe;;Sans titre;Geneviève ASSE
105;2012;1;Peinture;;Bleu granit n°7;Geneviève ASSE
106;2012;1;Peinture;;Bleu granit n°1;Geneviève ASSE
107;2012;1;Peinture;3C00419.JPG;Bleu granit n°73;Geneviève ASSE
108;1995;10;Oeuvre en 3 dimensions;3L02926.JPG;Le tapis moulage;Michel AUBRY
109;1981;2;Peinture;;Carmina;Alain AURéGAN
110;1984;1;Objet/Design;3L02608.JPG;Coupe;Paul BADIE
111;1984;1;Objet/Design;3L02609.JPG;Coupe;Paul BADIE
112;1984;1;Objet/Design;3L02610.JPG;Coupe;Paul BADIE
113;1984;1;Objet/Design;3L02611.JPG;Coupe;Paul BADIE
114;1984;1;Objet/Design;3L02612.JPG;Coupe;Paul BADIE
115;1984;1;Objet/Design;3L02506.JPG;Coupe;Paul BADIE
116;1997;8;Peinture;3C00437.JPG;Sans titre;Jo BAER
117;1994;8;Sculpture;3C00418.JPG;2 x (216 x 35 x 65), 190 x 83 x 48;Miroslaw BALKA
118;1988;8;Sculpture;3C00417.JPG;Par les mots;Elisabeth BALLET
119;1990;12;Sculpture;3C00427.JPG;Emmanuelle;Elisabeth BALLET
120;1987;16;Photographie;3C00429.JPG;Continuous Polar Circle;Lewis BALTZ
121;1993;18;Photographie;4S04469.JPG;Mitsubishi;Lewis BALTZ
122;2003;14;Dessin;3C00426.JPG;Batailles;Richard BAQUIé
123;1991;9;Sculpture;3L02982.JPG;Sans titre;Richard BAQUIé
124;1986;14;Peinture;3C00425.JPG;73-74-A-123x114;Martin BARRé
125;1986;11;Peinture;3L03234.JPG;84-85-144x132-C;Martin BARRé
126;1981;0;Dessin;4S04454.JPG;Le port bleu;Gaston BARRET
127;2002;6;Oeuvre en 3 dimensions;;Profils (3);Cécile BART
128;2009;0;Peinture;;Scanning 1;Cécile BART
129;2009;0;Peinture;;Scanning 8;Cécile BART
130;2009;1;Peinture;4S04455.JPG;Scanning 9;Cécile BART
131;1998;6;Sculpture;4T11268.JPG;Le må_;BAUDUIN (Jacques BAUDUIN, dit)
132;2004;1;Nouveaux médias;4T11267.JPG;Le Dourven;BAUDUIN (Jacques BAUDUIN, dit)
133;2004;0;Publication, livre, reliure;3D01938.JPG;Livre Picabia en Dé Pose;BAUDUIN (Jacques BAUDUIN, dit)
134;2002;3;Publication, livre, reliure;3D01941.JPG;IT [Groupe];BAXTER (IAIN & INGRID)
135;2002;4;Design graphique;3D01942.JPG;Identité graphique N.E. Baxter Thing CO. [Business card];BAXTER (IAIN & INGRID)
136;2002;4;Design graphique;3D01943.JPG;Identité graphique N.E. Baxter Thing CO.;BAXTER (IAIN & INGRID)
137;2002;4;Design graphique;3D01928.JPG;Identité graphique N.E. Baxter Thing CO., Business Card;BAXTER (IAIN & INGRID)
138;2002;4;Objet/Design;3D01934.JPG;Badge Superoficial;BAXTER (IAIN & INGRID)
139;2002;3;Objet/Design;4S04462.JPG;Badge Preview;BAXTER (IAIN & INGRID)
140;2002;7;Photographie;4S04463.JPG;ACT # 55, Cement Barrier, Seymour Parkway, N Vancouver BC;BAXTER (IAIN & INGRID)
141;2002;9;Photographie;4S04460.JPG;ACT # 136, Signage, Keremeous B.C.;BAXTER (IAIN & INGRID)
142;2002;11;Photographie;4S04464.JPG;Large Abstract Drawing Done Using My Skis, Body and Snow on Slope on Mt.Seymour, N.Vancouver, BC Canada;BAXTER (IAIN & INGRID)
143;2002;9;Photographie;3D01929.JPG;VSI Formula # 14, Bow River, AB;BAXTER (IAIN & INGRID)
144;2002;3;Objet/Design;3D01956.JPG;Badge [Low] I.Q.;BAXTER (IAIN & INGRID)
145;2002;4;Design graphique;;Identité graphique Products;BAXTER (IAIN & INGRID)
146;2004;4;Photographie;4S04461.JPG;ACT # 130, Big Arrow, Park Royal Shopping Mall;BAXTER (IAIN & INGRID)
147;2002;8;Reproduction photomécanique;3D01930.JPG;ACT Certificate # 91, Donald Judd's Untitled;BAXTER (IAIN & INGRID)
148;2002;4;Objet/Design;3D01931.JPG;Badge G.N.G.;BAXTER (IAIN & INGRID)
149;2002;3;Objet/Design;3D01968.JPG;Badge Art Attack;BAXTER (IAIN & INGRID)
150;2002;3;Design graphique;;Identité graphique N.E.Thing Company limited, please complete and return;BAXTER (IAIN & INGRID)
151;2002;4;Design graphique;;Identité graphique N.E. Thing Co. LTD., Stationary and Announcement;BAXTER (IAIN & INGRID)
152;2004;8;Photographie;;1/4 Mile Landscape, Prince Edward Island;BAXTER (IAIN & INGRID)
153;2004;8;Photographie;;1/4 Mile Landscape, Prince Edward Island;BAXTER (IAIN & INGRID)
154;2004;8;Photographie;;1/4 Mile Landscape, Prince Edward Island;BAXTER (IAIN & INGRID)
155;2004;8;Dessin;3D01935.JPG;1/4 Mile Landscape, Prince Edward Island;BAXTER (IAIN & INGRID)
156;2002;3;Objet/Design;3D01955.JPG;Badge V.I.P.;BAXTER (IAIN & INGRID)
157;2002;4;Design graphique;3D01958.JPG;Identité graphique N.E. Thing Consults with 1% of you...;BAXTER (IAIN & INGRID)
158;2002;4;Design graphique;3D01925.JPG;Identité graphique [Enveloppe de N.E.Thing Co.];BAXTER (IAIN & INGRID)
159;2002;3;Publication, livre, reliure;3D01933.JPG;Livre Rapport sur les activités de la Cie N.E.Thing de Vancouver Nord, Colombie Britannique;BAXTER (IAIN & INGRID)
160;2002;3;Objet/Design;3D02094.JPG;Badge Art is All Over;BAXTER (IAIN & INGRID)
161;2002;2;Objet/Design;3D01957.JPG;Badge Art is All Over;BAXTER (IAIN & INGRID)
162;2002;2;Publication, livre, reliure;3D01959.JPG;Lettre Vancouver Board of Trade;BAXTER (IAIN & INGRID)
163;2002;3;Publication, livre, reliure;3D01937.JPG;N.E.Thing Co. LTD;BAXTER (IAIN & INGRID)
164;2002;3;Photographie;3D01945.JPG;N.E.THING CO. LTD. Hockey Team;BAXTER (IAIN & INGRID)
165;2002;3;Reproduction photomécanique;3D01946.JPG;What is Art ?;BAXTER (IAIN & INGRID)
166;2002;2;Publication, livre, reliure;3D01917.JPG;Made by : Man & Woman and Hockey Team;BAXTER (IAIN & INGRID)
167;2002;1;Publication, livre, reliure;3D01932.JPG;Livre Sensitivy Information Research by the N.E.Thing CO.LTD. on Snow, Ice, Water, the North, and the General Phenomenon of Winter;BAXTER (IAIN & INGRID)
168;2002;3;Objet/Design;3D01969.JPG;Badge Eunuchversity;BAXTER (IAIN & INGRID)
169;2002;2;Publication, livre, reliure;3D01949.JPG;Project Departement : (VSI, MSI, SSI, ESI) = SI;BAXTER (IAIN & INGRID)
170;2002;2;Design graphique;3D01950.JPG;Affiche Mogules, MT. Norquay, Banff, Alberta;BAXTER (IAIN & INGRID)
171;2002;2;Design graphique;3D01953.JPG;Identité graphique N.E. Professional Photographic Display Labs LTD.;BAXTER (IAIN & INGRID)
172;2002;2;Publication, livre, reliure;3D02093.JPG;N.E. Professional photographic display labb LTD. Invitation and Announcement;BAXTER (IAIN & INGRID)
173;2002;4;Design graphique;;Identité graphique Eye Scream Restaurant;BAXTER (IAIN & INGRID)
174;2002;2;Publication, livre, reliure;3D01948.JPG;Livre Celebration of the Body;BAXTER (IAIN & INGRID)
175;2002;3;Publication, livre, reliure;3D01967.JPG;N.E.Thing CO. LTD, Another 2 projects;BAXTER (IAIN & INGRID)
176;2002;2;Design graphique;3D01922.JPG;"Affiche ""Information"", N.E.Thing CO. LTD, Another 2 projects";BAXTER (IAIN & INGRID)
177;2002;2;Publication, livre, reliure;3D01921.JPG;Livre N.E. THING CO.LTD., Volume 1;BAXTER (IAIN & INGRID)
178;2002;1;Publication, livre, reliure;3D01926.JPG;Livre Pluralities;BAXTER (IAIN & INGRID)
179;2002;1;Publication, livre, reliure;3D01918.JPG;Livre Iain Baxter;BAXTER (IAIN & INGRID)
180;2002;1;Publication, livre, reliure;3D01927.JPG;Livre Baxterå_;BAXTER (IAIN & INGRID)
181;2002;3;Objet/Design;3D01947.JPG;Badge Artoficial;BAXTER (IAIN & INGRID)
182;2002;4;Design graphique;3D01920.JPG;Identité graphique Iain Baxter, Creative Consultant;BAXTER (IAIN & INGRID)
183;2002;1;Publication, livre, reliure;3D01924.JPG;Livre N.E.Thing Co;BAXTER (IAIN & INGRID)
184;2002;1;Publication, livre, reliure;3D01919.JPG;Livre Iain Baxter;BAXTER (IAIN & INGRID)
185;2002;0;Publication, livre, reliure;3D01923.JPG;Livre Sixteen Hundred Miles North of Denver;BAXTER (IAIN & INGRID)
186;2002;1;Publication, livre, reliure;5D29597.JPG;Livre Iain Baxter;BAXTER (IAIN & INGRID)
187;2007;3;Sculpture;;Vacuumform Works Stillife - Four plastic Bottles;Iain BAXTER
188;2012;4;Photographie;;Sign, Highway 17, near Sudbury, Ontario;Iain BAXTER
189;2011;3;Publication, livre, reliure;3C00525.JPG;Portfolio North American Time Zone Photo V.S.I. Simultaneity, 18 oct. 1970;Iain BAXTER
190;1982;17;Peinture;3L02952.JPG;Pierre-ciel;Jean BAZAINE (Jean-René BAZAINE, dit)
191;1981;2;Estampe;3L02951.JPG;La vague;François BéALU
192;1982;3;Estampe;3L02508.JPG;Morceaux choisis;François BéALU
193;1983;8;Estampe;3L02510.JPG;Première expédition aux mégalithes;François BéALU
194;1997;5;Oeuvre en 3 dimensions;;Hiroshima mon amour;Catherine BEAUGRAND
195;1997;0;Nouveaux médias;4T12047.JPG;Luna Park;Catherine BEAUGRAND
196;2000;1;Oeuvre en 3 dimensions;3C00422.JPG;Projet Holbein;Catherine BEAUGRAND
197;1988;11;Photographie;3C00423.JPG;AbfÌ_llanlagen(Réservoirs de sable);BECHER (BERND ET HILLA)
198;1988;14;Photographie;3C00421.JPG;KÌ_hltÌ_rme(Tours de refroidissement);BECHER (BERND ET HILLA)
199;1988;14;Photographie;;GasbehÌ_lter(Gazomètres);BECHER (BERND ET HILLA)
200;2012;2;Photographie;3L02942.JPG;Madrid;John BEECH
201;1993;5;Dessin;3L02941.JPG;Silence;Yves BELENFANT
202;1993;1;Dessin;3L02954.JPG;Les mortels ont donné...;Yves BELENFANT
203;1984;6;Nouveaux médias;3L02513.JPG;Memory;Dominique BELLOIR
204;1998;7;Peinture;3L02511.JPG;Frais Vallon;Yves BéLORGEY
205;1998;13;Peinture;3L02512.JPG;Tours Quartier Masséna, mai-juin 1996;Yves BéLORGEY
206;1998;9;Peinture;3L02654.JPG;Montbau;Yves BéLORGEY
207;2000;2;Peinture;3C00430.JPG;Cité Jean Assolant;Yves BéLORGEY
208;1984;9;Oeuvre en 3 dimensions;3C00440.JPG;Sans titre;BERTHOLIN
209;1986;18;Peinture;5D29599.JPG;L/Hr S/L Hr/S S/Hr/ Hr/S;Jean-Pierre BERTRAND
210;2004;0;Cinéma;5D34181.JPG;Le Diable évidemment;Jean-Pierre BERTRAND
211;2004;5;Dessin;5D34182.JPG;Arcadia Obstructed;Amy BESSONE
212;2004;6;Dessin;5D34183.JPG;Untitled (Indoor, Outdoor);Amy BESSONE
213;2004;5;Dessin;5D34184.JPG;American Campus;Amy BESSONE
214;2004;4;Dessin;5D34185.JPG;Googly (Black and White);Amy BESSONE
215;2004;6;Dessin;5D34187.JPG;1-800 ...;Amy BESSONE
216;2004;5;Dessin;5D34188.JPG;Lump'n Hole;Amy BESSONE
217;2004;5;Dessin;5D34189.JPG;His Wife, The Mountain;Amy BESSONE
218;2004;4;Dessin;5D34186.JPG;Could be Connecticut ?;Amy BESSONE
219;2004;4;Dessin;3L03261.JPG;Googly (Color);Amy BESSONE
220;1993;9;Photographie;4T11202.JPG;Quatrain;Hervé BEUREL
221;2005;5;Photographie;4T11206.JPG;Tableau n°1;Hervé BEUREL
222;2005;5;Photographie;4T11204.JPG;Tableau n°2;Hervé BEUREL
223;2005;4;Photographie;4T11203.JPG;Tableau n°3;Hervé BEUREL
224;2005;5;Photographie;4T11201.JPG;Tableau n°4;Hervé BEUREL
225;2005;5;Photographie;4T11205.JPG;Tableau n°5;Hervé BEUREL
226;2005;4;Photographie;5D36655.JPG;Tableau n°6;Hervé BEUREL
227;2009;2;Photographie;5D36656.JPG;Tableau n°7;Hervé BEUREL
228;2009;2;Photographie;5D36657.JPG;Tableau n°9;Hervé BEUREL
229;2009;3;Photographie;5D36658.JPG;Tableau n°12;Hervé BEUREL
230;2009;2;Photographie;5D29578.JPG;Tableau n°15;Hervé BEUREL
231;2007;3;Photographie;5D29579.JPG;Détroit complexe;Ursula BIEMANN
232;2007;3;Photographie;5D29580.JPG;Détroit complexe;Ursula BIEMANN
233;2007;3;Photographie;5D29581.JPG;Détroit complexe;Ursula BIEMANN
234;2007;3;Photographie;5D29582.JPG;Détroit complexe;Ursula BIEMANN
235;2007;3;Photographie;5D29583.JPG;Détroit complexe;Ursula BIEMANN
236;2007;3;Photographie;5D29584.JPG;Détroit complexe;Ursula BIEMANN
237;2007;3;Photographie;5D29585.JPG;Détroit complexe;Ursula BIEMANN
238;2007;3;Photographie;5D29586.JPG;Détroit complexe;Ursula BIEMANN
239;2007;3;Photographie;5D29587.JPG;Détroit complexe;Ursula BIEMANN
240;2007;3;Photographie;5D29588.JPG;Détroit complexe;Ursula BIEMANN
241;2007;3;Photographie;5D29589.JPG;Détroit complexe;Ursula BIEMANN
242;2007;3;Photographie;5D29590.JPG;Détroit complexe;Ursula BIEMANN
243;2007;3;Photographie;5D29591.JPG;Détroit complexe;Ursula BIEMANN
244;2007;3;Photographie;5D29592.JPG;Détroit complexe;Ursula BIEMANN
245;2007;3;Photographie;5D29593.JPG;Détroit complexe;Ursula BIEMANN
246;2007;3;Photographie;5D29601.JPG;Détroit complexe;Ursula BIEMANN
247;2008;6;Nouveaux médias;5D29568.JPG;Europlex;Ursula BIEMANN
248;2008;4;Photographie;5D29569.JPG;Sahara Panels;Ursula BIEMANN
249;2008;4;Photographie;5D29570.JPG;Sahara Panels;Ursula BIEMANN
250;2008;3;Photographie;5D29571.JPG;Sahara Panels;Ursula BIEMANN
251;2008;4;Photographie;5D29572.JPG;Sahara Panels;Ursula BIEMANN
252;2008;4;Photographie;5D29573.JPG;Sahara Panels;Ursula BIEMANN
253;2008;3;Photographie;5D29574.JPG;Sahara Panels;Ursula BIEMANN
254;2008;4;Photographie;5D29575.JPG;Sahara Panels;Ursula BIEMANN
255;2008;3;Photographie;5D29576.JPG;Sahara Panels;Ursula BIEMANN
256;2008;4;Photographie;5D29577.JPG;Sahara Panels;Ursula BIEMANN
257;2008;4;Photographie;5D29603.JPG;Sahara Panels;Ursula BIEMANN
258;2008;1;Nouveaux médias;5D29607.JPG;Sahara Chronicle;Ursula BIEMANN
259;2008;1;Nouveaux médias;5D29605.JPG;Desert Truck Terminal;Ursula BIEMANN
260;2008;1;Nouveaux médias;5D29609.JPG;Desert Radio Drone;Ursula BIEMANN
261;2008;1;Nouveaux médias;5D29613.JPG;Interview Adawa;Ursula BIEMANN
262;2008;1;Nouveaux médias;5D29611.JPG;Oujda Frontierland;Ursula BIEMANN
263;2008;1;Nouveaux médias;4T12035.JPG;Deportation Prison Laayoune;Ursula BIEMANN
264;2002;5;Photographie;4T12036.JPG;L'habité;Alain BIZEAU
265;2002;5;Photographie;4T12037.JPG;L'habité;Alain BIZEAU
266;2002;8;Photographie;4T12038.JPG;L'habité;Alain BIZEAU
267;2002;5;Photographie;4T12039.JPG;L'habité;Alain BIZEAU
268;2002;6;Photographie;4T12040.JPG;L'habité;Alain BIZEAU
269;2002;6;Photographie;4T12041.JPG;L'habité;Alain BIZEAU
270;2002;5;Photographie;4T12042.JPG;L'habité;Alain BIZEAU
271;2002;4;Photographie;4T12043.JPG;L'habité;Alain BIZEAU
272;2002;4;Photographie;4T12044.JPG;L'habité;Alain BIZEAU
273;2002;8;Photographie;4T12045.JPG;L'habité;Alain BIZEAU
274;2002;4;Photographie;4T12048.JPG;L'habité;Alain BIZEAU
275;2002;5;Photographie;3C00438.JPG;L'habité;Alain BIZEAU
276;1983;10;Sculpture;3L02949.JPG;Four Faces of Assault;Kate BLACKER
277;1983;18;Sculpture;3L02939.JPG;Bidon;Jean-Charles BLAIS
278;1986;6;Sans domaine déterminé;3L02514.JPG;Fil de crin;Pierrette BLOCH
279;1984;2;Objet/Design;3L02516.JPG;Sans titre;Bernard BLOUCH
280;1997;9;Objet/Design;4T11274.JPG;Library Booth;Andrea BLUM
281;2003;4;Photographie;5D29614.JPG;Photography Cannot Record Abstract Ideas;Mel BOCHNER
282;2007;3;Peinture;3L02517.JPG;Aggravate;Mel BOCHNER
283;1982;0;Dessin;3L02938.JPG;(Sans titre);Yves BODéNÈS
284;1983;0;Peinture;3C00436.JPG;Sans titre;Jean-Pierre BOLMER
285;1989;15;Oeuvre en 3 dimensions;3L03371.JPG;Archives;Christian BOLTANSKI
286;1982;3;Estampe;3L03372.JPG;Coupures / échanges / lectures;René BONARGENT
287;1982;3;Estampe;3L03373.JPG;Coupures / échanges / lectures;René BONARGENT
288;1982;3;Estampe;3L03374.JPG;Coupures / échanges / lectures;René BONARGENT
289;1982;3;Estampe;3L03375.JPG;Coupures / échanges / lectures;René BONARGENT
290;1982;4;Estampe;3L03376.JPG;Coupures / échanges / lectures;René BONARGENT
291;1982;3;Estampe;3L03394.JPG;Coupures / échanges / lectures;René BONARGENT
292;1982;1;Estampe;3L02940.JPG;Quatre quarts;René BONARGENT
293;1982;0;Dessin;3C00435.JPG;Soir d'ouverture;Daniel BONNEC
294;1993;15;Peinture;3C00408.JPG;P.L.II.-250 x 200-89;Christian BONNEFOI
295;1996;4;Photographie;3C00407.JPG;(Sans titre);Muriel BORDIER
296;1996;6;Photographie;4T12050.JPG;(Sans titre);Muriel BORDIER
297;1996;4;Photographie;4T12049.JPG;(Sans titre);Muriel BORDIER
298;1996;4;Photographie;4T12034.JPG;(Sans titre);Muriel BORDIER
299;1991;4;Photographie;3C00432.JPG;Proposition pour improvisations photographiques(pour Boltanski, Borgeaud, Cadere, Le Gac, Sarkis, Tysh);Bernard BORGEAUD
300;1988;5;Photographie;3L03327.JPG;Point de rupture;Bernard BORGEAUD
